District	HASC	Code	Population	Capital	Former
Ab Band	AF.GZ.AB	0611	19,746	Hajikhel	
Ab Kamari	AF.BG.AK	1902	39,169		
Achin	AF.NG.AC	0810	72,296		
Adraskan	AF.HR.AD	2011	32,911		
Ahmadabad	AF.PT.AH	0705			Sayid Karam
Ajristan	AF.GZ.AJ	0605	23,199	Sangar	
Alasay	AF.KP.AL	0206	27,731		
Ali Abad	AF.KZ.AA	1405	40,140		
Alingar	AF.LA.AN	0903	7,208		
Alishing	AF.LA.AS	0907	60,858		
Almar	AF.FB.AL	1803	21,905		
Anar Dara	AF.FH.AD	2107	22,012		
Andar	AF.GZ.AN	0614	89,237	Miray	
Andarab	AF.BL.AN	1307	46,938		
Andkhoy	AF.FB.AN	1812	39,385		
Aqcha	AF.JW.AQ	1706	89,992		
Archi	AF.KZ.DA	1407	84,381	Dasht-e Archa	
Arghandab	AF.KD.AD	2404	61,829		
Arghandab	AF.ZB.AR	2503	27,084		
Arghanj Khwa	AF.BD.AK	1114	(12,200)		Kishim, Fayz Abad
Arghistan	AF.KD.AS	2412	28,595		
Argo	AF.BD.AR	1115	(45,200)		Fayz Abad
Asad Abad	AF.KR.AA	1001	57,189		
Atghar	AF.ZB.AT	2508	7,230		
Aybak	AF.SM.AY	1501	80,496		
Azra	AF.LW.AZ	0506	19,315		PT
Baghlani Jadid	AF.BL.BJ	1312	159,914		
Baghran	AF.HM.BU	2305	67,548		
Bagram	AF.PV.BA	0308	97,761		
Bagrami	AF.KB.BA	0110	24,710		
Baharak	AF.BD.BA	1108	61,937		
Baharak	AF.TK.BK	1213	(7,800)		Taluqan
Bahrami Shahid	AF.GZ.BA	0602	43,270	Bahram	Jaghatu (Waeez Shahid)
Bak	AF.KT.BA	3210	9,819		
Bakwa	AF.FH.BA	2102	19,854	Soltan-e Bakva	
Bala Buluk	AF.FH.BB	2105	47,801		
Balkh	AF.BK.BA	1606	100,998		
Balkhab	AF.SP.BA	3104	40,140		
Bamyan	AF.BM.BA	2801	67,548		
Bangi	AF.TK.BA	1202	30,645		
Baraki Barak	AF.LW.BB	0503	63,555		
Bargi Matal	AF.NR.BM	3005	8,417		
Bar Kunar	AF.KR.BK	1003	21,473		
Barmal	AF.PK.BU	2909	28,810		
Bati Kot	AF.NG.BK	0817	55,894	Nader Shah Kawt	
Bazarak	AF.PJ.BA	3301			Hisa-i-Awali Panjsher
Bihsud	AF.NG.BI	0821	(72,800)		Jalal Abad
Bilchiragh	AF.FB.BI	1806	37,659		
Burka	AF.BL.BU	1310	49,204		
Chaghcharan	AF.GR.CH	2701	128,514		
Chah Ab	AF.TK.CA	1209	30,645		
Chahar Asyab	AF.KB.CA	0109	35,393	Qaleh-ye Na'im	
Chahar Bolak	AF.BK.CB	1607	65,498		
Chahar Burjak	AF.NM.CB	2203	35,932		
Chahar Dara	AF.KZ.CD	1404	60,534		
Chaharikar	AF.PV.CH	0301	156,461		
Chahar Kint	AF.BK.CK	1611	42,406		
Chakhansur	AF.NM.CH	2204	28,595		
Chaki Wardak	AF.VR.CH	0406	56,758	Chak	Chak
Chal	AF.TK.CL	1204	22,228		
Chamkani	AF.PT.CH	0718	24,926		
Chapa Dara	AF.KR.CD	1010	23,199		
Chaparhar	AF.NG.CH	0806	43,701		
Charkh	AF.LW.CH	0502	49,744		
Charsada	AF.GR.CD	2708	(15,100)		Chaghcharan
Chawkay	AF.KR.CH	1013	30,968		
Chimtal	AF.BK.CM	1608	71,864		
Chishti Sharif	AF.HR.CS	2015	14,028		
Chora	AF.OZ.CH	2602	34,637		
Dahana-i-Ghori	AF.BL.DG	1303	54,707		
Daman	AF.KD.DM	2402	24,494		
Dand wa Patan	AF.PT.DP	0717	14,459		
Dangam	AF.KR.DA	1004	12,733		
Dara	AF.PJ.DA	3302			Hisa-i-Duwumi Panjsher
Dara-i-Nur	AF.NG.DN	0820	39,709		
Dara-i-Pech	AF.KR.DP	1011	46,615		
Dara-i-Suf	AF.SM.DS	1504	118,694		
Dara-i-Sufi Bala	AF.SM.DB	1503	(56,000)		Dara-i-Suf
Darayim	AF.BD.DY	1116	(66,100)		Fayz Abad
Darqad	AF.TK.DA	1211	18,775		
Darwaz	AF.BD.DA	1110	21,365	Nusai	
Darwazi Bala	AF.BD.DB	1117	(10,700)		Darwaz
Darzab	AF.JW.DA	1703	59,024		
Dashti Qala	AF.TK.DQ	1214	(17,000)		Khwaja Ghar
Dawlat Abad	AF.BK.DA	1605	94,308		
Dawlat Abad	AF.FB.DA	1809	38,630		
