,Title,Body,Date,URL
0,"
Extended Troika Members Support Review of UN Sanctions on Taliban
","
Representatives of the extended “Troika,” comprising the United States, Russia, China, and Pakistan, met in Doha on Friday to discuss ways to support intra-Afghan negotiations and help the parties reach a negotiated settlement and a permanent and comprehensive ceasefire. 
The extended “Troika” met with representatives of the Islamic Republic negotiating team and of the Taliban, as well as Qatar, who graciously hosted the participants, according to a statement by the US Department of State.
The statement says that the extended “troika” members “support a review of the status of designations of Taliban individuals and entities on the UN 1988 sanctions, as stated in the UNSC resolution 2513 (2020).” Practical measures to reduce violence and sustained efforts to advance intra-Afghan negotiations by the Taliban will positively affect this review process, the statement added.
“We acknowledge the widespread and sincere demand of the Afghan people for a lasting and just peace and an end to the war,” the statement said. “We reiterate that there is no military solution in Afghanistan and a negotiated political settlement through an Afghan-led and Afghan-owned process is the only way forward for lasting peace and stability in Afghanistan.”
The statement said that the extended troika members take note of the April 14 announcement by the United States and NATO that US/NATO forces will begin a responsible withdrawal from Afghanistan by May 1, 2021 that concludes by September 11, 2021. 
“We reiterate that the withdrawal of foreign troops should ensure a steady transition of the situation in Afghanistan. We stress that, during the withdrawal period, the peace process should not be disrupted, no fights or turbulence shall occur in Afghanistan, and the safety of international troops should be ensured,” the statement said.
The statement said that “we expect the Taliban to fulfill its counterterrorism commitments, including preventing terrorist groups and individuals from using Afghan soil to threaten the security of any other country; not hosting these groups and preventing them from recruiting, training, and fundraising.” 
“We expect the Afghan government to continue counterterrorism cooperation with the international community,” the statement said.
The participants reiterated their call on all parties to the conflict in Afghanistan to reduce the level of violence in the country and on the Taliban not to pursue a Spring offensive. 
“We condemn in the strongest terms any attacks deliberately targeting civilians in Afghanistan and call on all parties to respect their obligations under international humanitarian law in all circumstances, including those related to protection of civilians,” the statement said.
The statement calls on all Afghans including the Government of the Islamic Republic and the Taliban to ensure that terrorist groups and individuals do not use Afghan soil to threaten the security of any other country.
“We reaffirm that any peace agreement must include protections for the rights of all Afghans, including women, men, children, victims of war, and minorities, and should respond to the strong desire of all Afghans for economic, social and political development including the rule of law,” the statement concluded.
",2021-05-01T08:15:41+0430,https://tolonews.com/afghanistan-171830
1,"
Army Outpost Attacked in Ghazni, 30 Soldiers Missing: Sources
","
Taliban attack an outpost of the Afghan National Army in the city of Ghazni on Friday night that led to hours of heavy clashes between the two sides, a provincial council member Khaliqdad Akbari said.
The outpost has fallen to the Taliban, he said, adding that the clashes continued until Saturday morning.
Meanwhile, a source from Ghazni said that at least 30 army soldiers are missing following the clashes. The source said the soldiers were stationed at the outpost. 
Taliban has not commented on the attack.
Violence remains high in the country despite efforts to move the peace process forward amidst the announcement of the withdrawal of foreign forces from Afghanistan. 
Sources on Friday said that an average of 11 to 49 soldiers and civilians have been killed in Taliban attacks in Afghanistan on a daily basis following the announcement of the withdrawal of US troops from the country on April 14.
According to statistics provided by sources, 226 Afghan civilians and military personnel have been killed in Taliban attacks in 24 provinces since April 15. 
Of the figure, 69 are civilians and 157 are security force members.
",2021-05-01T11:07:00+0430,https://tolonews.com/afghanistan-171834
2,"
Blast Targets Army Division in Parwan
","
Two army soldiers were killed and 25 more were wounded in an explosion at an Afghan National Army division at Bagram Airfield, Parwan province, on Friday evening.
The army soldiers were busy in prayer when the explosion happened. 
The type of blast is not known so far, but sources said that the explosion was due to a bomb that was already planted in the area.
Officials from ANA’s Division in Bagram meanwhile rejected the claim of casualties and said that 18 soldiers sustained minor injuries in the explosion.
Violence remains high in the country despite efforts to move the peace process forward amidst the announcement of the withdrawal of foreign forces from Afghanistan. 
Sources on Friday said that an average of 11 to 49 soldiers and civilians have been killed in Taliban attacks in Afghanistan daily following the announcement of the withdrawal of US troops from the country on April 14.
According to statistics provided by sources, 226 Afghan civilians and military personnel have been killed in Taliban attacks in 24 provinces since April 15. 
Of the figure, 69 are civilians and 157 are security force members.
",2021-05-01T11:22:21+0430,https://tolonews.com/afghanistan-171835
3,"
Logar Bombing Condemned as ‘Crime against Humanity’
","
The deadly truck bomb attack that targeted a guest house in Logar province on Friday evening was widely condemned as a crime against humanity and a terrorist attack against the people of Afghanistan.
The Presidential Palace said the “terrorist attack” targeted “innocent people” including students who were seeking to attend university entrance exams in the province.
Calling it a crime against humanity, the Afghan government blamed the Taliban for the bombing. The group has not commented on the attack so far.
Abdullah Abdullah, head of the High Council for National Reconciliation, also condemned the blast and called it “a cowardly terrorist attack against Afghan civilians.”
Former president Hamid Karzai in a statement condemned the attack as cowardly and an act by Afghanistan’s enemies. 
He asked parties to the conflict to expedite their efforts for peace.
The French embassy in Kabul in a statement said they condemn in the strongest terms those who deliberately targeted civilians in yesterday’s Logar car bomb attack. 
“Such senseless terrorist violence must come to an end, the people of #Afghanistan deserve peace,” the embassy said.
Turkey’s Ministry of Foreign Affairs in a statement said, “We condemn the perpetrators of this heinous terrorist attack and hope that they will be held accountable before justice.”
The latest figures by members of the Logar provincial council show that 26 people were killed and over 100 more were wounded in the blast that has damaged many houses in the area, including a public hospital.
The Ministry of Interior Affairs has confirmed that 21 people were killed and over 90 more were wounded in the explosion.
",2021-05-01T12:38:17+0430,https://tolonews.com/afghanistan-171838
4,"
Foreign Forces Have Started Withdrawal: Gen. Zia
","
The acting minister of defense, Gen. Yasin Zia, at a press briefing on Saturday said that the US and NATO forces have started their withdrawal from the country – as the May 1 deadline agreed in Doha deal has approached.
“The withdrawal of foreign forces has practically started,” he said. “They will hand over the areas where their logistics issues have been addressed will be handed (to Afghan forces) by the end of this week,” Zia said.
He said that the US and NATO forces will first leave other bases and will be transferred to Bagram and from there they will leave abroad.
Zia said that the last batch of foreign forces will leave Camp Shorab in Helmand on Sunday.
The withdrawal of foreign forces has been accompanied by concerns among Afghans about the future of the country.
Addressing the same press conference, National Security Adviser Hamdullah Mohib said that their calculations show that the Taliban will continue their violence and that going forward, “every Afghan will be a target” for them.
United States has around 2,500 troops in Afghanistan and based on the Biden administration's decision, their number will be zero by Sept. 11.
",2021-05-01T14:51:17+0430,https://tolonews.com/afghanistan-171842
5,"
Govt Sees No Reason for Taliban Violence as Foreign Troops Leave
","
Afghan National Security Adviser Hamdullah Mohib on Saturday questioned ongoing violence by the Taliban, saying the government does not see any justification for a the violence at a time that the US and NATO forces have started withdrawing from Afghanistan.
“The Taliban is a force that is only seeking power,"" Mohib said. ""They use different tactics to justify the violence. If they justify the killing of the civilians, they even justify the slavey of an intelligence agency.”
Mohib states that the Taliban gets all their military equipment and explosive materials from the Pakistan’s intelligence agency, the Inter Services Intelligence (ISI).
“The Taliban are slaves of the ISI. They get all their equipment and explosions for killing of Afghans and destruction of Afghanistan from there (Pakistan) and the entire world knows about it and the Taliban needs to explain it,” Mohib said.
Mohib said that al Qaeda is playing a key role in keeping the Taliban’s war machine active in Afghanistan. 
Taliban has often rejected the allegations that it still maintains close ties with al Qaeda.
“The Taliban claims that no other group can conduct the (war), except them, the Taliban also claim that when they give order, the violence stops and no one is there to launch attack. In this scenario, all responsibilities go to the Taliban,"" he said. ""But there are also other groups that conduct such activities. You saw the statement of Al Qaeda. Daesh is also operating there, but all these are carrying out their activities in harmony with the Taliban.""
Meanwhile, members of the Afghan National Defense and Security Forces (ANDSF) have reiterated their determination to defend the nation and the country’s borders against any hostile move.
This comes as lawmakers from Ghazni province in the parliament have said that at least 30 security force members gone missing after the Taliban took over their outpost in Arezo village in the city of Ghazni.
 Security officials however said that the case is not that much serious and only 17 security force members had been under the siege.
“There was a small outpost in the Arezo village. It was not a base. The outpost has fallen. We are investigating the incident to find out the main reasons. Other forces have been deployed and there is no any major issue there. There were around 17 people from the three security agencies,” Acting Defense Minister Gen. Yasin Zia said.
This comes weeks after US President Joe Biden announced his intention to withdraw all US troops from Afghanistan by Sept. 11, 2021.
",2021-05-01T18:01:43+0430,https://tolonews.com/afghanistan-171845
6,"
Death Toll in Logar Suicide Bombing Rises to 26, 110 Injured
","
The death toll from Friday’s truck bombing in Pul-e-Alam City, the center of Logar province rose to 26 as rescue workers worked throughout the night to recover those trapped under the rubble.
A 40 days old toddler was also among those wounded in the blast.
Most of those killed and wounded in the blast were students and civilians.
Meanwhile, Acting Minister of Interior Hayatullah Hayat said that another 25 civilians were killed and 56 more wounded in separate Taliban attacks in other parts of the country in less than 24 hours before the start of withdrawal of foreign forces from the country.
“Overall, the Taliban is a group that has foreign support. Any attack and killing that are occurring here, without any doubt, the Taliban and their backers in the region are behind them,” said Hayat.
Most of the victims were the students who had gathered there in Pul-e-Alam for university entrance exam.
They were from Azra district of Logar.
“I was in a tailoring shop. It was near the dusk and we were preparing for Iftar dinner when the tragedy happened,” said Allah Noor, a survivor.
“There was a huge blast. All glasses and doors fell on us. A Muslim never does this kind of act,” said Shah Mansour, a resident of Logar.
The suicide attacker detonated the truck full of explosions near a residential houses and a hospital.
“It is a barbaric act. They are just killing the Muslims without any reason and crime,” said a resident of Logar who refused to be named.
“It has no justification. No religion accepts this. They bring bomb and kill the defenseless people,” said Ghulam Hazrat, a resident of Kabul.
“We have registered 71 wounded people and 21 martyrs. A 40 days toddler and women were also among those wounded,” said Mirwais Latifzai, a doctor at Kabul Emergency Hospital.
No group has so far claimed responsibility for the attack. But the Afghan government in a statement on Friday night blamed the Taliban for the blast.
",2021-05-01T18:40:04+0430,https://tolonews.com/afghanistan-171849
7,"
Survivors of Car Bomb in Logar Province Share Ordeal
","
The survivors of the deadly bombing in the eastern province of Logar on Sunday said the blast was huge and that it damaged many houses nearby. They said it happened when everyone was busy having their dinner. 
The blast that targeted a guest house killed at least 26 people and wounded over 110 others. The government confirmed 21 dead and 91 wounded in the explosion. 
Dozens of people were trapped under the rubble as a building collapsed due to the blast. The rescue mission continued throughout the night. 
A toddler and some women are among those wounded in the bombing. 
“The casualty is too high. Many shops and houses have been damaged, people were wounded due to broken glasses following the blast,” said Abdul Rahman, an eyewitness. 
“Many of those martyred were the students who had gathered for the university entrance exam,” said Ehsanullah, an eyewitness. 
Dozens of the wounded were brought to Kabul for treatment. 
“What they will respond to God on the day of judgment. Those who are sitting in Qatar and those in the peace council. Do you know about the miseries of the people,” said Dr. Malang, a relative of a victim. 
“Have mercy on the people for the sake of God. 21 dead bodies were lying here,” said Ainuddin, a relative of a victim. 
“Here (Logar) is the Kabul gate. The Taliban’s pressure here is very high as it is close to the Durand Line,” Logar governor Abdul Qayyum Rahimi said. 
Joining Afghans across the nation, a number of foreign envoys have also strongly condemned Friday’s truck bombing in Logar province that killed over 26 people, most of whom were students. 
US special envoy Zalmay Khalilzad, NATO’s civilian ambassador, as well as UK, France and Turkey embassies, condemned the attack as senseless acts of violence. 
 “I condemn in the strongest terms the senseless attack in Logar yesterday. Innocent Afghan civilians are continuing to pay the price for these appalling acts of violence. The cycle of violence has to be broken. All parties must work to achieve peace at the negotiating table,” said Stefano Pontecorvo, NATO’s envoy to Afghanistan. 
“A car bomb there took the lives of families sitting for iftar and students preparing for university exams. We condemn in the strongest terms this terrible tragedy and its terrorist perpetrators,” US envoy Khalilzad said. 
“This senseless violence against civilians must stop,” the UK embassy in Kabul said. 
This comes at a time that foreign forces on Saturday officially started withdrawing from Afghanistan. 
 But violence continues to take lives from the Afghans.  Acting Minister of Interior Hayatullah Hayat said that 25 civilians were killed and 56 more wounded in other security incidents across the country in the last 24 hours. 
",2021-05-01T19:46:30+0430,https://tolonews.com/afghanistan-171850
8,"
Nine Killed, 14 Injured in Massive Fire in Kabul
","
At least nine people were killed and 14 others were wounded after a major fire broke out on Saturday night in Kabul in which dozens of fuel tankers, trucks and other vehicles were burnt, a source from the Ministry of Interior said on Sunday. 
The fire broke out in Qala-e- Murad Bek area in Shakardara district north of Kabul at a fuel tanker and damaged several other fuel tankers, trucks and cars, said Tariq Arian, a spokesman for Interior Ministry. 
Eyewitnesses said that more than 50 fuel tankers, trucks, other vehicles, as well as, houses and shops were damaged in the fire.  
The reason behind the incident is not clear so far. 
Power supply to many parts of Kabul was disconnected shortly after the incident, the country’s power distributor, Da Afghanistan Breshna Sherkat (DABS) said, adding that “a team has been sent to the area to reconnect the power.”
",2021-05-01T22:02:45+0430,https://tolonews.com/afghanistan-171856
9,"
3 Police Officers Killed in Taliban Attack in Zabul
","
Three police officers were killed and two more were wounded in an attack by Taliban in the southern province of Zabul on Saturday night, head of provincial council Ata Jan Haqbayan said. 
The clashes happened in Qalat city, the center of Zabul, after Taliban attacked a security outpost, Haqbayan said. 
Local officials said that nine Taliban were also killed during the clashes. 
The clashes were lasted for several hours between the security forces and the Taliban.  
Taliban has not ommented on the clashes. 
An average of 11 to 49 soldiers and civilians have been killed in Taliban attacks in Afghanistan on a daily basis following the announcement of the withdrawal of US troops from the country on April 14, sources told TOLOnews on Friday.  
According to statistics provided by sources, 226 Afghan civilians and military personnel have been killed in Taliban attacks in 24 provinces since April 15.  
Of the figure, 69 are civilians and 157 are security force members. 
",2021-05-02T11:08:32+0430,https://tolonews.com/afghanistan-171860
