,Title,Text,,Date_time,Title_KeyWord_match,Text_district_match
6,Biden Says US Will Disrupt Any Threat from Afghanistan | TOLOnews,"US President Joe Biden in a statement on 10th anniversary of raid that killed Osama bin Laden said that the United States will remain vigilant about the threat from terrorist groups that have metastasized around the world.
“As we bring to an end America’s longest war and draw down the last of our troops from Afghanistan, al Qaeda is greatly degraded there,"" Biden said. “But the United States will remain vigilant about the threat from terrorist groups that have metastasized around the world. We will continue to monitor and disrupt any threat to us that emerges from Afghanistan.”
He said that ten years ago, he joined President Obama and members of US national security team to ""watch as our military delivered long-awaited justice to Osama bin Laden.”
“It is a moment I will never forget—the intelligence professionals who had painstakingly tracked him down; the clarity and conviction of President Obama in making the call; the courage and skill of our team on the ground,” he said.
“It had been almost ten years since our nation was attacked on 9/11 and we went to war in Afghanistan, pursuing al Qaeda and its leaders. We followed bin Laden to the gates of hell—and we got him. We kept the promise to all those who lost loved ones on 9/11: that we would never forget those we had lost, and that the United States will never waver in our commitment to prevent another attack on our homeland and to keep the American people safe,” he added.
Al-Qaeda not 'completely' uprooted in Afghanistan
The Afghan government says that the roots of the network are still alive in Afghanistan and the group still poses a threat to the country and the world and is collaborating with the Taliban.
But the Taliban has rejected any type of relations with al-Qaeda.
The US presence in Afghanistan over the last 20 years was due to the existence of al-Qaeda. Biden last month said the US has achieved its objectives in the Afghanistan war.
“Right now, al-Qaeda and Talib are not two different ideologic topics; they are beyond that as they have intermarried within their families,” NDS chief Ahmad Zia Saraj said last week.
The question that arises is how can al-Qaeda pose a threat to Afghanistan and the world while its leader was killed ten years back?
“Al-Qaeda was not owned by bin Laden,” said Atiqullah Amarkhil, a former military officer. “Al-Qaeda is still active in Afghanistan and anyone who says that we have eliminated al-Qaeda--they are lying.”
The Afghan government sees the Taliban’s ties with al-Qaeda as a key challenge in the way of the peace process.
“Even though the Taliban has agreed with the US to cut ties with al-Qaeda and other terrorist groups, al-Qaeda is still fighting among the Taliban,” said Rahmatullah Andar, spokesman for National Security Council.
Meanwhile, Abdullah Abdullah, the chairman of the High Council for National Reconciliation, said Saturday the often-fractured Afghan political leadership must unify in its peace talks with the Taliban or risk more bitter fighting as the US and NATO withdraws, AP reported.
",,2021-05-03T08:31:39+0430,['threat'],['andar']
109,MoI Arrests Mediators Helping Hand Over ANDSF Outposts to Taliban | TOLOnews,"Elders--or others--who act as mediators to negotiate between government forces and the Taliban-- causing security force members to abandon their posts--have been arrested, the Ministry of Interior Affairs (MoI) said on Sunday.  The ministry reiterated that cooperation with “terrorists” is unacceptable.
Many districts have recently fallen to the Taliban or have been evacuated after being under siege. Sources confirmed the fall of at least 20 distrits' centers to the Taliban in the last two months.
Over the last 24 hours, security forces evacuated Saghar district in Ghor, Arghandab district in Zabul and Posht Rod and Lash districts in Farah, bringing the total to 23.
Security agencies said that government forces have either shifted the centers of the districts or they have made tactical retreats. The Taliban has claimed to have captured these districts.
“There were clashes in Posht Rod district last night during which the police headquarters fell to militants,” said Dadullah Qane, head of the Farah provincial council.
“We lost our security forces and youth, and the wounded are in critical condition,” said Anisa Ghayur, a member of Ghor's provincial council.
The Taliban claimed on Sunday to have captured the center of Arghandab district in Zabul and two markets in Ali Abad district in Kunduz.
However, security forces said the Khashrod district in Nimroz was retaken hours after it fell to the Taliban.
“Security outposts were attacked by the enemy in Khan Abad and Ali Abad districts. So far, the security and defense forces have responded strongly,” said Inamuddin Rahmani, spokesman for the Kunduz police.
The Ministry of Interior Affairs said that security forces have been directed to arrest those who attempt to mediate between government forces and the Taliban to hand over security forces outposts. 
“The reason that soldiers leave their outposts is that they are faced with the lack of facilities, equipment and personnel,” said Shogufa Nawrozi, an MP from Helmand.
Clashes have been reported in at least 20 provinces over 70 districts, according to sources and officials.
Footage obtained by TOLOnews shows some soldiers in Lash wa Joyan district in Farah province, apparently pleading for help.
The Ministry of Defense responded by pledging that the security forces will receive support when they need it.
“The enemy has suffered its highest casualties in Nimroz, Badghis and Helmand provinces,” Defense Ministry spokesman Rohullah Ahmadzai said.
Local security officials in Ghazni and Takhar on Sunday said security forces had progressed in the two provinces and that the Taliban suffered “heavy casualties” during their operations.
",1,2021-06-13T19:38:20+0430,['taliban'],"['arghandab', 'arghandab', 'kunduz', 'farah']"
316,Samangan’s Center Aybak Falls to Taliban | TOLOnews,"The city of Aybak, the capital of the northern province of Samangan, fell to the Taliban on Monday, MPs confirmed.
With Aybak, the number of cities that fell to the Taliban recently has risen to five. Zarang, capital of Nimruz, Sheberghan, capital of Jawzjan province, Taloqan, capital of Takhar, Sar-e-Pul, capital of Sar-e-Pul province and now Aybak, capital of Samangan, are the cities that are under Taliban control.
The residents of Aybak accused the central government of negligence.
MPs from Samangan in Parliament said that the security forces left the city without fighting.
“Unfortunately, Aybak, the city in Samangan, fell to the Taliban today about 2:30pm (local time). The government forces retreated from the city and now the Taliban has entered and captured the police HQ and the National Directorate of Security (NDS) building,” said Abdalelah Mohammadi, an MP from Samangan.
In recent days the Taliban intensified their attacks in the northern parts of the country, especially in Jawzjan, Samangan, Takhar, Balkh, Kunduz and Sar-e-Pul provinces.
Taloqan fell to the Taliban late Sunday after weeks of fighting with security forces and public uprising forces.
Local officials said hundreds of the security forces retreated from Taloqan and moved to Farkhar and Warsaj districts in the province and have retaken the two districts from the Taliban.
“Takhar has been at war for the past 40 days and witnessed heavy clashes…. The people are concerned about the situation and most of the people have left their homes and moved to other provinces,” said Faramarz Amiri, a resident of Takhar.
Ramazan, another resident of Takhar, said: “The security forces and public uprising forces have been fighting for  the past 40 days and standing against the Taliban without the support of the central government. Unfortunately, the lack of equipment and central government’s support has caused Taloqan to fall to the Taliban.”
In Kunduz city, clashes have been ongoing between the security forces and the Taliban for the past two days.
Despite the loss of the provincial governor's office, police HQ and NDS building, the government forces are still fighting the Taliban close to the 217 Pamir Corps and airport.
“Clashes are ongoing in Kunduz city close to the remaining government buildings,” said Mohammad Yousuf Ayoubi, head of the provincial council of Kunduz.
Officials of the Parliament's defense commission have urged the government to take immediate action against the Taliban’s advance, saying: “If immediate action does not take place, other cities will also fall to the Taliban.”
But the security organizations are assuring the people that the cities will be retaken.
Currently, the Taliban has increased pressure on Faizabad city, capital of the northeastern province of Badakhshan; Maimana, capital of Faryab; Pul-e-Khumri in Baghlan and Mazar-e-Sharif, capital of Balkh province.
The Afghan security forces pushed back a Taliban attack in the Dehdadi district of Balkh, the Defense Ministry said on Monday, adding: “The Taliban left the area after suffering heavy casualties.”
The Taliban claim, however, their fighters clashed with security forces in the Kod-e-Barq area and govt forces sustained casualties.
The National Army's 209 Shaheen Corps, which is one of the security forces' largest military bases, is also located in the district.
Dehdadi borders Mazar e Sharif city.
“The enemies attacks are ongoing in Kunduz, Sheberghan, Samangan and Sar-e-Pul but the government forces are standing against them and we also have made progress in Kunduz and other cities. The enemies have suffered heavy casualties” said Mirwais Stankezai, a spokesman for Interior Ministry.
The security organization on Monday announced that 579 Taliban were killed, and 161 others were wounded in the past 24 hours in operations mounted by security forces. But the Taliban has not yet commented on casualties.
",1,2021-08-09T18:10:47+0430,"['fall', 'taliban']","['aybak', 'balkh', 'kunduz', 'kunduz', 'kunduz', 'kunduz', 'balkh', 'balkh', 'kunduz']"
75,Taliban Accuses US of Seeking Regional Bases Post-Withdrawal | TOLOnews,"Taliban in a new statement has accused the United States of seeking a military presence in the region, “especially in Pakistan,” as part of its efforts to maintain surveillance in Afghanistan, warning that it will lead to “more bloodshed” in the country if it takes place.
The statement published on Friday says that the Doha agreement has been “repeatedly” violated by the US and that it has led to the continuation of violence in Afghanistan. The US has rejected claims on violation of the Doha agreement.
Taliban says that some media reports have said that the US will keep its presence along the Durand Line for surveillance using Pakistan’s territory and airspace. This will mean that the US will maintain its presence in Bagram and Shindand—bases in Afghanistan—and that if this happens, the Taliban “will continue their jihad” as in the past, the statement says.
The Taliban has asked Pakistan not to facilitate the continuation of “Afghanistan’s occupation;” otherwise, if it happened, it will be “a mistake” and a “big blunder” for Pakistan.
However, Pakistan has ruled out the possibility of allowing the US to operate a military base or conduct drone operations in Afghanistan from its soil. 
On May 26, Pakistani Foreign Minister Shah Mehmood Qureshi told Pakistan’s Senate that there are no such arrangements with Washington, Islamabad's longtime ally in the so-called war against terrorism.
“Let this House and the Pakistani nation be a witness to my testimony that under Prime Minister Imran Khan, there will be no American base on Pakistani soil,” Qureshi said as quoted by Anadolu Agency.
The Pentagon this week insisted the US commitment to the region is not wavering.
“Just because we are removing our troops and ending our military mission in Afghanistan doesn’t mean that we’re walking away from the region,” Pentagon Spokesman John Kirby told reporters on May 24. “Nothing could be further from the truth,” he said.
According to an AP report, last week Gen. Frank McKenzie, the commander of US Central Command, said negotiations with Afghanistan’s neighbors for overflight rights and troop basing are “moving forward” but will take time.
On May 24, US Defense Secretary Lloyd Austin spoke with Pakistan's chief of Army staff, Gen. Qamar Javed Bajwa. The Pentagon didn’t provide further information about what the two military leaders discussed, other than to say they talked about “shared regional interests and objectives.”
“During the call, Secretary Austin reiterated his appreciation for Pakistan’s support for Afghanistan Peace Negotiations and expressed his desire to continue to build on the US – Pakistan bilateral relationship,” the Defense Department said.
Commanders have said they will monitor threats from “over the horizon,” to ensure that terrorists cannot again use Afghanistan as a base to launch attacks against the US. But they have acknowledged that the US does not yet have any agreements for basing or overflights from any of the neighboring countries.
“There’s still going to be a robust United States presence in the Middle East, in the Central Command area of responsibility,” Kirby said on May 24. “There’s absolutely going to be no diminution of our commitment to our allies and partners in the region.”
The US and coalition forces started withdrawing from the country on May 1. Some bases have been handed over to Afghan forces. US forces have started scrapping equipment that can neither be repaired nor handed over to Afghan forces in its current state. The scrapping of vehicles and other equipment is taking place at the country’s largest airbase, the Bagram Airfield.
The new statement by the Taliban comes days after their previous statement in which they did not name Pakistan but warned against any attempt to establish foreign bases in the region. 
US Central Command announced on Tuesday that they estimate the US withdrawal from Afghanistan to be somewhere between 16% and 25% complete.
Approximately 160 C-17 loads of material and equipment have left Afghanistan, the US Department of Defense (DoD) reported, and more than 10,000 pieces of military equipment have been turned over to the Defense Logistics Agency. 
US-controlled installations in Afghanistan are also being returned to the Afghan Defense Ministry, and so far, five installations have been handed back, said the Defense Department.
",,2021-05-28T12:34:05+0430,['taliban'],"['bagram', 'bagram']"
99,16 People Killed in Attack on Balkh District Police HQ: Official | TOLOnews,"At least 16 people, including 2 civilians, were killed in the recent attack on the police headquarters in Balkh province, and 117 others, including 67 civilians, were wounded, said Mohammad Younus Stanekzai, the Balkh district governor.
According to local officials, 10 houses and 80 shops were also damaged in the attack.
“Unfortunately, the district building was totally damaged--100 percent--while the police HQ building was also damaged 80 percent,” said Mohammad Younus Stanekzai, the Balkh district governor.
The Taliban claimed responsibility for the deadly attack.
TOLOnews’ correspondent Sayed Mohammad Arif Musavi visited the area three days after the attack and said on Wednesday that there are still security threats in the district. 
Musavi painted a grim picture of the attack's aftermath.
“Administrative affairs have been suspended for two days,” said Stanekzai.
Eyewitnesses said that the majority of those killed in the blast were civilians.
“No one is visiting the city and bazaar, they are all afraid,” said Abdul Karim, a resident in Balkh.
The security agencies have so far not commented on how a truck full of explosives managed to reach such a highly secure area.
“Our personnel have been deployed in the area, there is no need to feel fear, everyone can return to their work,” said Zia-ul-Haq Toofan, the commander of the Balkh district police.
",,2021-06-09T20:30:26+0430,"['attack', 'district']","['balkh', 'balkh', 'balkh', 'balkh', 'balkh']"
103,‘Govt Controls Less Than Half of Territory in Balkh District’ | TOLOnews,"At least 35% of the territory in Balkh district in the northern province of Balkh is under the government’s control while the remaining parts are either under Taliban influence or are contested between the two sides, an official said.
Balkh district has 184 villages, district governor Mohammad Yunus Stanekzai said, adding that 65 of them are under the government’s control.
The district has 180 members of public uprising forces who have a big role in ensuring the security of the district, Stanekzai said.
Balkh district is 24 kilometers far from Mazar-e-Sharif city, the center of Balkh, and is known as one of the most insecure districts in the province. The district has witnessed two big attacks in the last two months: one on an army base and another on police headquarters.
The district governor said that the public uprising forces need further support in terms of equipment.
“Balkh district has 184 districts. Unfortunately, most of the villages are under the opposition’s influence, but fortunately, we have a good percentage under our control where the morale is very high… At least 35% of the villages are under the government’s control.”
At least 20 members of public uprising forces are stationed at an outpost 4 kilometers far from Boka district, which is often contested between government forces and the Taliban. Security forces at the outpost said they are always ready to defend their areas against any threat from militants.
“Taliban attack whenever they find an opportunity, but we are fully ready to defend,” said Agha Mohammad, a commander of public uprising forces.
Another member of the public uprising forces said that clashes have intensified over the last few days.
“This area is called Piaaz-Kar. It is the frontline. The enemy roams here every night, but they have failed in their evil goal. They attack, but they are suppressed, they are defeated and then they go back,” said Hafizullah, a member of public uprising forces.
According to the local forces, the Taliban uses people’s homes for the war, a claim that was rejected by the group.
“These homes have been used in many attacks on us. They have shelled rockets on us from these homes, but they cannot succeed. We have given them a tit-for-tat response and we will do the same, going forward,” said Gulab Khan, a public uprising forces member.
The continuation of clashes in the district has created concerns among the resident who says violence must stop.
“The foreigners are leaving our country, but still attacks are happening in our district in which only civilians are harmed,” said Saifuddin, a Balkh resident.
“They destroyed houses, killed our people, and left them with a dark future, they planted mines. What is the sin of these Muslims? They are civilians,” said Abdul Jabbar, a Balkh resident.
",,2021-06-11T11:41:57+0430,"['control', 'district']","['balkh', 'balkh', 'balkh', 'balkh', 'balkh']"
319,ANDSF Repels Taliban Attack on Mazar-e-Sharif: Governor | TOLOnews,"The Afghan National Security and Defense Forces (ANDSF) pushed back a Taliban offensive on Mazar-e-Sharif city and retook Nahr-e-Shahi district, Balkh governor Mohammad Farhad Azimi said on Tuesday.
Azimi said that on Monday night the ANDSF and the Taliban clashed in Nahr-e-Shahi district and Dehdadi district.
He said the Taliban retreated from the area after facing strong resistance from the Afghan security forces.
“The Taliban have focused their attention on Balkh province to take control,” said Azimi.
“We managed to recapture this area while facing strong resistance and with the help of air support,” said Sultan Musavi, the police chief of Nahr-e-Shahi.
Nahr-e-Shahidi is adjacent to Mazar-e-Sharif, the center of Balkh.
“Our frontline crosses over 34 kilometers which is very vulnerable,” said Abdul Kabir Sharifi, Nahr-e-Shahi district governor.
“Last night we were attacked, but we defeated the Taliban,” said Abdul Qadeer, the commander of public uprising forces.
Meanwhile, a number of residents of Hazarjereeb village in Dehdadi said that the Taliban has fired mortars toward the 209 Shaheen Army Corps several times in the past few days.
“Mortars were fired from the Imam Bakri direction towards 209 Shaheen Army Corps, the people are very fearful and they are fleeing the area,” said Nawid, a resident in Dehdadi.
People in Dehdadi said that occasionally civilians are  hurt as a result of the air strikes.
In the latest incident, three members of a family were killed in the Samar Qandian village of Balkh as a result of air strikes.
Fighting in Balkh has also displaced hundreds of families.
",,2021-08-10T18:19:29+0430,"['taliban', 'attack']","['balkh', 'balkh', 'balkh', 'balkh', 'balkh']"
186,"Mortar Hits Residence of Atta Noor, Ex-Balkh Governor | TOLOnews","A mortar round landed inside the residence of Atta Mohammad Noor, the former governor of Balkh province this evening, wounding at least two people, said MP Sayed Zahir Masroor.  
""The mortar landed while Noor was in a meeting with political leaders, provincial council members and security officials to review the security situation of the province,"" he said.  
Security sources said that the mortar hit a vehicle that belonged to Ali Mohaqiq, MP and son of Mohammad Mohaqiq, senior adviser on political and security affairs of the president. 
“A driver of Ali Mohaqiq and another person were wounded in the incident,” according to the sources, who added that “no one at the meeting was hurt in the attack.” 
Noor went to Balkh last week to support local security forces in clearing operations against the Taliban. 
Out of 14 districts in Balkh, nine of them have fallen to the Taliban in the past several weeks. Kaldar and Chahar Boak were the districts that fell most recently.
The Taliban were a threat to Mazar-e-Sharif, the capital of the province, but security forces and commandos reinforced security to prevent the Taliban, said sources.
A week ago Noor pledged to mobilize the public in Balkh against the Taliban and to clear the province and restore stability. 
“God forbid, the fall of Balkh means the fall of the north and the fall of the north means the fall of Afghanistan. We have experienced this. It is not a story, it is history,” Noor said. “We will not allow it to fall. We are here with a firm commitment to return security to the people, and we will not leave them alone.”  
No group has claimed responsibility for the mortar attack.
",,2021-07-01T19:22:56+0430,['attack'],"['balkh', 'balkh', 'balkh']"
321,Marshal Dostum Pledges to Clear North of Taliban | TOLOnews,"Marshal Abdul Rashid Dostum on Wednesday assured the Afghan people that he will clear the northern provinces of the Taliban.
He said that the Taliban will face the same fate as their commander Mawlavi Fazel did in 2001.
The warning comes as several provincial capitals have fallen to the Taliban in the past week.
“The Taliban came to the north, but they were trapped. But this time, with the support of the God, it will be difficult for them to get out of the north—for instance, what Mullah Fazel faced here, they will face the same fate,” said Dostum in Mazar-e-Sharif.
Meanwhile, President Ghani arrived in Mazar-e-Sharif city in Balkh province on Wednesday morning amid a challenging security situation in the northern provinces.
Ghani's adviser on security and political affairs Mohammad Mohaqiq and former mujahideen commander Juma Khan Hamdard are accompanying the President on the trip.
Sources said that the Ghani in meetings with political leaders in Balkh has agreed to start operations against the Taliban in the north.
“The president led the security meeting in the north and ordered the necessary directives to the appropriate officials,” said Latif Mahmoud, Ghani’s spokesman.
The Taliban has captured the centers of Jawzjan, Sar-e-Pul and Samangan provinces in the north. The group has also increased attacks on Mazar-e-Sharif city.
“Regarding the war, he (the President) said that the war will be of two types: the guerrilla war and the war to recapture the territory,” said Mohammad Afzal Hadid, head of the Balkh provincial council.
Balkh and Faryab provinces in the north are currently under government control.
“Mazar-e-Sharif city is a strategic and important city, therefore it should be defended at any cost,” said Ata Mohammad Noor, the former governor of Balkh.
Sources have said that Ghani has assigned Marshal Dostum to lead the war and all military affairs in north.
",,2021-08-11T20:45:49+0430,['taliban'],"['balkh', 'balkh', 'balkh']"
329,"Fighting Continues in Jawzjan, Balkh Provinces | TOLOnews","Heavy clashes between the Afghan security forces and the Taliban continued in the northern provinces of Balkh and Jawzjan with the Balkh police chief claiming to have inflicted a devastating blow to the group in Dehdadi district.
“70 dead bodies of the enemy were lying on the ground as a result of airstrikes and ground attacks,” said general Fahim Qaim, the commander of the Balkh police.
The Taliban have not commented so far.
Meanwhile, sources said that Yar Mohammad Dostum, the son of Marshal Abdul Rashid Dostum, has arrived in Mazar-e-Sharif city in Balkh province to plan a massive operation along with the nation’s defense and security forces against the Taliban.
Meanwhile, the Taliban have said that they have captured Sheberghan airport in Jawzjan.
Reports say that fighting is currently underway between the Taliban and the security forces in Dehdadi district and has been for the past five days.
The fighting is taking place in residential areas in Dehdadi, according to reports. 
“Please do not use us as your shields; using civilians as a shield is a war crime,” said Zabihullah Yari, a resident of Dehdadi. 
“Firing is heard from all sides, the situation is critical,” said Zahir, a resident in Dehdadi.
Balkh's police chief who was assigned to the post on Wednesday said that the security forces will soon launch a massive operation against the enemy in the north.
",1,2021-08-12T19:08:59+0430,['province'],"['balkh', 'balkh', 'balkh']"
